id,name
1,Danios
2,Platies
3,Guppies
4,Kuhli Loach
5,Cherry Barb
6,Fire Mouth Cichilid
7,Pearl Gourami
8,Tiger Pleco
9,Cory Catfish
10,Mollies
11,Sword Tails
12,Betta
